青龙,后燕时兰汗年号,398
仁寿,隋文帝年号,601—604
仁寿,大理段智祥年号,？—？
上元,唐高宗年号,674—676
前上元,唐高宗年号,674—676
上元,唐肃宗年号,760—762
后上元,唐肃宗年号,760—762
上元,南诏异牟寻年号,784—？
绍兴,宋高宗年号,1131—1162
绍兴,西辽仁宗年号,1151—1163
神凤,吴大帝年号,252
神凤,晋时刘尼年号,303
圣明,北魏时陈瞻年号,506
圣明,大理段素兴年号,1042—？
始兴,隋末操师乞年号,616
始兴,隋末高开道年号,618—624
天成,隋末高开道年号,618—624
始元,汉昭帝年号,前86—前80
始元,南诏郑仁旻年号,910—？
顺德,大理段思聪年号,968
顺德,明时朱宸濠年号,1519
顺天,唐时史思明年号,759—761
顺天,唐时董昌年号,895—896
天册,唐时董昌年号,895—896
大圣,唐时董昌年号,895—896
顺天,金时郝定年号,1216
顺天,清时林爽文年号,1786—1788
太安,晋惠帝年号,302—303
太安,前秦苻丕年号,385—386
太安,后凉吕光年号,386—389
大安,后凉吕光年号,386—389
太安,北魏文成帝年号,455—459
太安,柔然候其伏代库者可汗年号,492—505
太初,汉武帝年号,前104—前101
太初,前秦苻登年号,386—394
太初,西秦乞伏乾归年号,388—400
太初,南凉秃发乌孤年号,397—399
太初,南朝宋刘劭年号,453
太和,魏明帝年号,227—233
太和,后赵石勒年号,328—330
太和,成（汉）李势年号,344—346
太和,晋废帝年号,366—371
太和,北魏孝文帝年号,477—499
太康,晋武帝年号,280—289
太宁,晋明帝年号,323—326
太宁,后赵石虎年号,349
太平,吴会稽王孙亮年号,256—258
太平,晋时赵𫷷年号,300—301
太平,北燕冯跋年号,409—430
太平,柔然伏名敦可汗年号,485—491
太平,南朝梁敬帝年号,556—557
太平,隋末林士弘年号,616—622
延康,隋末林士弘年号,616—622
太平,辽圣宗年号,1021—1031
太平,元末徐寿辉年号,1356—1358
太始,汉武帝年号,前96—前93
太始,南朝梁时侯景年号,551—552
太始,渤海大明忠年号,818
太兴,北燕冯弘年号,431—436
太元,吴大帝年号,251—252
太元,晋孝武帝年号,376—396
泰始,晋武帝年号,265—274
泰始,南朝宋时程道养年号,432—437
泰始,南朝宋明帝年号,465—471
天宝,唐玄宗年号,742—756
天宝,吴越钱镠年号,908—912
天保,北齐文宣帝年号,550—559
天保,南朝后梁明帝年号,562—585
天册,吴末帝年号,275—276
天成,南朝梁贞阳侯萧渊明年号,555
天成,唐时安庆绪年号,757—759
天成,后唐明宗年号,926—930
天德,闽（殷）王延政年号,943—945
天德,金海陵王完颜亮年号,1149—1153
天定,大理段兴智年号,1252—1254
天定,元末徐寿辉年号,1359—1360
天福,后晋高祖年号（936—942），出帝沿用不改（942—944）,936—944
天福,后汉高祖年号,947
