词头,出现的词典数量
　切尔尼亚耶夫　,1
　切连科夫　,1
　卡皮查　,1
　塔姆　,1
　婆什迦罗　,1
　尖佩兰　,1
　布特列罗夫　,1
　库尔纳科夫　,1
　恰普雷金　,1
　朗道　,1
　札比尔·伊本·赫杨　,1
　查以采夫　,1
　海伦　,1
　海罗夫斯基　,1
　涅斯梅亚诺夫　,1
　瓦维洛夫　,1
　罗蒙诺索夫　,1
　范特荷甫范特荷甫　,1
　谢多夫　,1
　谢苗诺夫　,1
　赫斯　,1
　达朗贝尔　,1
　门捷列夫　,1
　阿尔·卡西　,1
　马尔柯夫尼柯夫　,1
"。"",",1
《中华人民共和国宪法》第三十六条,1
《中华苏维埃共和国宪法大纲》第十三条,1
《人民邮电》报,1
《伯利克里和阿斯帕西亚》封面,1
《共产党人》发刊词,1
《冒险》和《新冒险》,1
《农村调查》的序言和跋,1
《切韵》俟母独立说,1
《切韵》娘母独立说,1
《切韵》船禅互易说,1
《大江报》事件,1
《政治经济学批判》导言,1
《新生》事件,1
《春秋》决狱,1
《梦想》封面,1
《社会学大纲》批注,1
《祖国语言》教学指南,1
《红楼梦研究》批判,1
《美丽岛》事件,1
《联合国气候变化框架公约》缔约方大会,1
《联合国气候变化框架公约》附件一国家,1
《联合国气候变化框架公约》附件二国家,1
《般若波罗蜜多经八千颂》档案文献,1
《苏报》案,1
《蒙古秘史》词汇选释,1
《诗经》音,1
《说文》学,1
《黑格尔法哲学批判》导言,1
"「沙井」，四周被流沙环抱，虽遇强风而泉不为沙所掩盖，「亘古沙不填泉，泉不涸竭」，为沙漠奇观。"",",1
【扌刍】贺,1
㐄㐄,1
㐆背,1
㐾亲情,1
㐾兜,1
㐾厝,1
㑀给,1
㑃枪,1
㑇头六怪,1
㑇巴,1
㑇搜,1
㑇敢,1
㑇札,1
㑇筋瓜,1
㑇𢠳𢠳,1
㑈儑,1
㑌儴,5
㑑人,1
㑑齐,1
㑚㑚儿,1
㑚个,1
㑚丹,1
㑚亨,1
㑚介呵,1
㑚介块,1
㑚介拉,1
㑚介来,1
㑚们,1
㑚侬,1
㑚家,1
㑚面面,1
㑢个,1
㑩倮巴,1
㑩惹,1
㑱儿,1
㑳共撇,1
㑳擾,1
㑷子,1
㑻傄,1
㒁㒁,1
㒄子,1
㒅子,1
㒊譶,1
㒔㑛,1
㒝偰,1
㒝骗,1
㒠陋,1
㒴泥,1
㒸意,1
㒼胡,1
㓋面子,1
㓖冹,3
㓟皮,1
㓟草,1
㓟麦,1
㓟黍得,1
㓟黍的,1
㓠剁,1
㓠肉,1
㓤人,1
㓥光猪,1
㓥死牛,1
㓥猪,1
㓥猪佬,1
㓥肚,1
㓥车,1
㓥鸡,1
㓥鸡角,1
㓦㓦,1
㓦划,2
㓦劃,1
㓦弄,1
㓻氣,1
㓻風,1
㓾毛,1
㓾草皮,1
㔉田,1
㔍刀,1
㔍柴,1
㔍菜,1
㔣㔣,1
㔣㔣㔣,1
㔣倒,1
㔣盘,1
㔣钻,1
㔩叶,1
㔩彩,2
㔩气,1
㔩綵,1
㔩葉,2
㔷埋,1
㕎崩,1
㕭嗗,1
㕮咀,2
㕲漱,1
㕶伲,1
㕶哚,1
㕶奴,1
㕶朵,1
㕶笃,1
㕶笃个,1
㕶那,1
㕶里,1
㕶𠽬,1
㖃呀,1
㖃气,1
㖅㖅,1
㖅匕,1
㖆㖆话,1
㖐㖐,1
㖞呵,1
㖞斜,2
㖠末,1
㖢喇,1
㖤㗅,1
㖧㖧,1
㖧涂,1
㖭屁眼,1
㖹吹的,1
㖹嚷,1
㖹火,1
㖹灯,1
㖹螺,1
㖹风,1
㖹风球,1
㖹鸡胿,1
㗅㗅叫,1
㗇㗇,1
㗇喖,1
㗊㗊㗊,1
㗎吗,1
㗎咋,1
㗎啦,1
㗎喇,1
㗐㗐,1
㗒老,1
㗘㗱,1
㗘㗱声,1
㗘唼,1
㗘噍,1
㗤咨,2
㗦嘈,2
㗩㗩,1
㗬口㗬嘴,1
㗬嘴皮,1
㗱㗱叫,1
㗲㗲,1
㗲嘖,1
㗾哆,1
㘄哏儿,1
㘆𠷂讲,1
㘊霵,1
㘓哰,1
㘖㘖,1
㘗㘗哝哝,1
㘗㘗话,1
㘗箅,1
㘞底,1
㘤潾,1
㘥子,1
㘪土,1
㙎沙,1
㙎鳖,1
㙘𰉱,1
㙟狗,1
㙳坷,1
㚂泥,1
㚕㚕硕硕,1
㚘儿,1
㚲㚲,1
㚻奸,2
㚻姦,1
㚻子,1
㛭㛭,1
㛯蛋,1
㛯软蛋,1
㛴性,1
㛴聒,1
㛹娟,2
㛺贓,1
㛺赃,2
㛺里㛺赃,1
㛼嘴,1
㜁某,1
㜁某㛠,1
㜁某仔,1
㜁某囝,1
㜁某孙,1
㜁某馆,1
㜅目,1
㜑低,1
㜝倒,1
㜸妾,1
㝃乳,2
㝃卧,1
㝃身,1
㝅瞀,1
㝅输孺,1
㝅马,1
㝔奥,1
㝔奧,1
㝔辽,1
㝔遼,1
㝗㝩货,1
㝗圹,1
㝗康,1
㝗得开,1
㝥火,1
㝩㝗,2
㝩㝩,1
㝩不严,1
㝩瓦,1
㝩货,1
㝾人,1
㝿㝾,1
㞇㞂,2
㞎㞎,2
㞎㞎蛋儿,1
㞎呢,1
㞎屎,1
㞎栏子,1
㞎橛子,1
㞎油,1
㞎螂子,1
㞎褯子,1
㞐栋,1
㞓把,1
㞗不懂,1
㞗之哈叭,1
㞗也不旦,1
㞗势,1
㞗势子,1
㞗呀式式,1
㞗呛眼,1
㞗坛子,1
㞗坯,1
㞗头子,1
㞗定,1
㞗所候,1
㞗把子,1
㞗抹定,1
㞗朝天,1
㞗架子,1
㞗楞,1
㞗毛小人,1
㞗毛鬼胎,1
㞗汤子,1
㞗眉出眼,1
㞗眉悻眼,1
㞗眉鼠眼,1
㞗糊抹擦,1
㞗经不懂,1
㞗胎,1
㞗腥气,1
㞗腥烂气,1
㞗迷,1
㞗鼠迷,1
㞘㞘子,1
㞘上,1
㞘下,1
㞘低,1
㞘儿,1
㞘儿里,1
㞘则背后,1
㞘喧,1
㞘嘞,1
㞘墩地,1
㞘子,2
㞘子沉,1
㞘底,1
㞘底流油,1
㞘擦,1
㞘旦嘞,1
㞘松,1
㞘板,1
㞘沟,1
㞘的,1
㞘筋疼,1
㞘肠,1
㞘脏,1
㞘蛋,1
㞘蛋子,1
㞘蛋股,1
㞘跳,1
㞘里,1
㞘针,1
㞘麻,1
㞚㞏,1
㞚子,1
㞞包,1
㞠子,1
㟏岈,5
㟒嶙,1
㟟𡽘,1
㟥嵯,1
㟪垒,1
㟪壘,1
㟪廆,1
㟬崮,1
㟯岝,3
㟹嶆,4
㠁嵯,1
㠎嶫,1
㠑嵬,1
㠭劲,1
㠭极,1
㠸子,1
㠾书子,1
㡎头,1
㡎𫄥,1
㡒子,1
㡛氏,2
㡜縷,1
㡞篼,1
㡨布,1
㡨帚,1
㡩幕,1
㡪刀子,1
㡲瓦,1
㡸庌,1
㡿賣,1
㢀作,1
㢀内侬,1
㢀后壁,1
㢀头,1
㢀尾顶,1
㢀栋,1
㢀边,1
㢀里侬,1
㢅子,1
㢊凳,1
㢊壁椅子,1
㢧舒,1
㢨剃头篮,1
㢨悬,1
㢨水,1
㢨耳,1
㢨腹肚,1
㢨膭,1
㢲語,1
㣇特,1
㤄赖,1
㤉㤉,1
㤉神,1
㤉𡳞,1
㤐者,1
㤘㤘巴巴,1
㤘八万,1
㤘巴,1
㤘式,1
㤘牛圪朵,1
㤘𢠳,2
㤘𪨊,1
㤞㤞,1
㤞憏,1
㤯㤯,1
㤶赣,1
㤻子,1
㤽㤽,2
㤽别,1
㤿𪫺,1
㥄㥄,1
㥄遽,2
㥆㥆懒,1
㥆阑,1
㥏墨,2
㥑气,1
㥢货,1
㥪㥪,1
㥪糊,1
㥪诚,1
㥮𢠳,1
㥯重,1
㥰麻,1
㥾恧,1
㦌目睡,1
㦎㦎,1
㦒忚,1
㦙人,1
㦙仔,1
㦛㦛,1
㦟㦟,1
㦸瑟,1
㦿䈳,1
㦿子,1
㦿眼,1
㦿窗,1
㧁眼儿,1
㧃起,1
㧅扯,1
㧅着线头儿,1
㧅石头,1
㧅菜,1
㧅蹬,1
㧊㨭,1
㧊头,1
㧎嘴㧎面,1
㧏尖儿,1
㧏鼓,1
㧐打,1
㧐达,1
㧑挹,1
㧑谦,1
㧓空,1
㧕丝刮缝,1
㧕括,1
㧙挒,1
㧙牛,1
㧟包,1
㧟哧,1
㧟揣,1
㧟着,1
㧟篓,1
㧟老盖儿,1
㧟芝麻酱,1
㧟锅,1
㧟饭,1
㧡夫,1
㧡担格,1
㧡脚,1
㧡脚婆,1
㧡脚米,1
㧡葫笼担子格,1
㧡葫笼格,1
㧦㧦红,1
㧩开来,1
㧩草,1
㧫种阿妈个粞,1
㧫荋,1
㧬火,1
㧬画,1
㧬畫,2
㧯到梅子树了,1
㧯废,1
㧯手,1
㧯松,1
㧯架子,1
㧯秧,1
㧯秧瓜,1
㧯竹竿进城门,1
㧯筷子,1
㧯脚,1
㧯起,1
㧯起半截就开跑,1
㧯起半节就开跑,1
㧯鹅卵石,1
㧰扑,1
㧳手面,1
㧸禾,1
㧹㧹,1
㧹㧹重,1
㧹𤗿,1
㧺住,1
㧻烟管,1
㧼果仔,1
